,adj1,adj2,adj3,adj4,sum
ENSG00000099250-ENSG00000112715,1.0,1.0,1.0,1.0,1111
ENSG00000030582-ENSG00000134243,1.0,1.0,1.0,1.0,1111
ENSG00000146648-ENSG00000113070,1.0,1.0,1.0,1.0,1111
ENSG00000183395-ENSG00000128285,1.0,1.0,1.0,1.0,1111
ENSG00000138685-ENSG00000026508,1.0,1.0,1.0,1.0,1111
ENSG00000101384-ENSG00000134250,1.0,1.0,1.0,1.0,1111
ENSG00000154928-ENSG00000108947,1.0,1.0,1.0,1.0,1111
ENSG00000122218-ENSG00000134243,1.0,1.0,1.0,1.0,1111
ENSG00000169218-ENSG00000205213,1.0,1.0,1.0,1.0,1111
ENSG00000164690-ENSG00000164161,1.0,1.0,1.0,1.0,1111
ENSG00000146674-ENSG00000149932,1.0,1.0,1.0,1.0,1111
ENSG00000136040-ENSG00000138623,1.0,1.0,1.0,1.0,1111
ENSG00000065361-ENSG00000157168,1.0,1.0,1.0,1.0,1111
ENSG00000196189-ENSG00000004399,1.0,1.0,1.0,1.0,1111
ENSG00000143590-ENSG00000145242,1.0,1.0,1.0,1.0,1111
ENSG00000099617-ENSG00000044524,1.0,1.0,1.0,1.0,1111
ENSG00000070018-ENSG00000171243,1.0,1.0,1.0,1.0,1111
ENSG00000011600-ENSG00000026508,1.0,1.0,1.0,1.0,1111
ENSG00000146469-ENSG00000114812,1.0,1.0,1.0,1.0,1111
ENSG00000162998-ENSG00000134245,1.0,1.0,1.0,1.0,1111
ENSG00000198719-ENSG00000074181,1.0,1.0,1.0,1.0,1111
ENSG00000148400-ENSG00000090932,1.0,1.0,1.0,1.0,1111
ENSG00000128271-ENSG00000138185,1.0,1.0,1.0,1.0,1111
ENSG00000182578-ENSG00000157368,1.0,1.0,1.0,1.0,1111
ENSG00000182168-ENSG00000065320,1.0,1.0,1.0,1.0,1111
ENSG00000259384-ENSG00000113494,1.0,1.0,1.0,1.0,1111
ENSG00000081237-ENSG00000187764,1.0,1.0,1.0,1.0,1111
ENSG00000066468-ENSG00000110400,1.0,1.0,1.0,1.0,1111
ENSG00000125266-ENSG00000116106,1.0,1.0,1.0,1.0,1111
ENSG00000114251-ENSG00000162998,1.0,1.0,1.0,1.0,1111
ENSG00000105426-ENSG00000140538,1.0,1.0,1.0,1.0,1111
ENSG00000164050-ENSG00000187764,1.0,1.0,1.0,1.0,1111
ENSG00000259384-ENSG00000112964,1.0,1.0,1.0,1.0,1111
ENSG00000104332-ENSG00000134245,1.0,1.0,1.0,1.0,1111
ENSG00000100311-ENSG00000134853,1.0,1.0,1.0,1.0,1111
ENSG00000181195-ENSG00000116329,1.0,1.0,1.0,1.0,1111
ENSG00000099617-ENSG00000070886,1.0,1.0,1.0,1.0,1111
ENSG00000197461-ENSG00000134853,1.0,1.0,1.0,1.0,1111
ENSG00000148400-ENSG00000184916,1.0,1.0,1.0,1.0,1111
ENSG00000144476-ENSG00000107562,1.0,1.0,1.0,1.0,1111
ENSG00000171587-ENSG00000065320,1.0,1.0,1.0,1.0,1111
ENSG00000141433-ENSG00000197635,1.0,1.0,1.0,1.0,1111
ENSG00000108379-ENSG00000145423,1.0,1.0,1.0,1.0,1111
ENSG00000108379-ENSG00000120057,1.0,1.0,1.0,1.0,1111
ENSG00000114251-ENSG00000135333,1.0,1.0,1.0,1.0,1111
ENSG00000241563-ENSG00000180616,1.0,1.0,1.0,1.0,1111
ENSG00000101958-ENSG00000196937,1.0,1.0,1.0,1.0,1111
ENSG00000104332-ENSG00000111186,1.0,1.0,1.0,1.0,1111
ENSG00000143590-ENSG00000135333,1.0,1.0,1.0,1.0,1111
ENSG00000185559-ENSG00000134250,1.0,1.0,1.0,1.0,1111
ENSG00000070886-ENSG00000143590,1.0,1.0,1.0,1.0,1111
ENSG00000182580-ENSG00000108947,1.0,1.0,1.0,1.0,1111
ENSG00000162552-ENSG00000128602,1.0,1.0,1.0,1.0,1111
ENSG00000185737-ENSG00000178568,1.0,1.0,1.0,1.0,1111
ENSG00000113361-ENSG00000113361,1.0,1.0,1.0,1.0,1111
ENSG00000099250-ENSG00000075213,1.0,1.0,1.0,1.0,1111
ENSG00000132671-ENSG00000157005,1.0,1.0,1.0,0.0,1110
ENSG00000184349-ENSG00000116106,1.0,1.0,1.0,0.0,1110
ENSG00000187122-ENSG00000169855,1.0,1.0,1.0,0.0,1110
ENSG00000170775-ENSG00000197746,1.0,1.0,1.0,0.0,1110
ENSG00000026508-ENSG00000066468,1.0,1.0,1.0,0.0,1110
ENSG00000198719-ENSG00000148400,1.0,1.0,1.0,0.0,1110
ENSG00000072071-ENSG00000157168,1.0,1.0,1.0,0.0,1110
ENSG00000110400-ENSG00000177707,1.0,1.0,1.0,0.0,1110
ENSG00000112715-ENSG00000128052,1.0,1.0,1.0,0.0,1110
ENSG00000148400-ENSG00000018236,1.0,1.0,1.0,0.0,1110
ENSG00000070193-ENSG00000066468,1.0,1.0,1.0,0.0,1110
ENSG00000114251-ENSG00000145423,1.0,1.0,1.0,0.0,1110
ENSG00000146072-ENSG00000142192,1.0,1.0,1.0,0.0,1110
ENSG00000149294-ENSG00000176697,1.0,1.0,1.0,0.0,1110
ENSG00000138685-ENSG00000066468,1.0,1.0,1.0,0.0,1110
ENSG00000139874-ENSG00000157005,1.0,1.0,1.0,0.0,1110
ENSG00000137801-ENSG00000135218,1.0,1.0,1.0,0.0,1110
ENSG00000091831-ENSG00000066468,1.0,1.0,0.0,1.0,1101
ENSG00000183150-ENSG00000168913,1.0,1.0,0.0,1.0,1101
ENSG00000197696-ENSG00000135577,1.0,1.0,0.0,1.0,1101
ENSG00000181195-ENSG00000112038,1.0,1.0,0.0,1.0,1101
ENSG00000116106-ENSG00000108947,1.0,1.0,0.0,1.0,1101
ENSG00000138685-ENSG00000068078,1.0,1.0,0.0,0.0,1100
ENSG00000146648-ENSG00000240972,1.0,1.0,0.0,0.0,1100
ENSG00000146648-ENSG00000122218,1.0,1.0,0.0,0.0,1100
ENSG00000091831-ENSG00000176697,1.0,1.0,0.0,0.0,1100
ENSG00000154764-ENSG00000145423,1.0,0.0,1.0,1.0,1011
ENSG00000187094-ENSG00000110148,1.0,0.0,1.0,1.0,1011
ENSG00000163377-ENSG00000011028,1.0,0.0,1.0,1.0,1011
ENSG00000176697-ENSG00000148053,1.0,0.0,1.0,1.0,1011
ENSG00000135218-ENSG00000186340,1.0,0.0,1.0,1.0,1011
ENSG00000125266-ENSG00000196411,1.0,0.0,1.0,1.0,1011
ENSG00000102755-ENSG00000173511,1.0,0.0,1.0,1.0,1011
ENSG00000017427-ENSG00000140443,1.0,0.0,1.0,1.0,1011
ENSG00000100311-ENSG00000123384,1.0,0.0,1.0,1.0,1011
ENSG00000162552-ENSG00000145423,1.0,0.0,1.0,1.0,1011
ENSG00000163485-ENSG00000138185,1.0,0.0,1.0,1.0,1011
ENSG00000188064-ENSG00000104332,1.0,0.0,1.0,1.0,1011
ENSG00000138685-ENSG00000077782,1.0,0.0,1.0,0.0,1010
ENSG00000108379-ENSG00000156076,1.0,0.0,1.0,0.0,1010
ENSG00000064300-ENSG00000185652,1.0,0.0,1.0,0.0,1010
ENSG00000113494-ENSG00000204414,1.0,0.0,1.0,0.0,1010
